"","Country","Science06","Sien.S.E.06","Science09","Sien.S.E.09","Math03","Math.S.E.03","Math06","Math.S.E.06","Math09","Math.S.E.09","Reading00","Read.S.E.00","Reading03","Read.S.E.03","Reading06","Read.S.E.06","Reading09","Read.S.E.09","Science12","Sien.s.e.12","Math12","Math.s.e.12","Reading12","Read.s.e.12","Science15","Scie.s.e.15","Math15","Math.s.e.15","Reading15","Read.s.e.15","gdp2000","gdp2003","gdp2006","gdp2009","gdp2012","gdp2015","gdpg2000","gdpg2003","gdpg2006","gdpg2009","gdpg2012","gdpg2015","expend2000","exped2003","expend2006","expend2009","expend2012","expend2015","corrupt2000","corrupt2003","corrupt2006","corrupt2009","corrupt2012","corrupt2015","pol2000","pol2003","pol2006","pol2009","pol2012","pol2015"
"14","Colombia",388,3.37,402,3.63,NA,NA,370,3.78,381,3.24,NA,NA,NA,NA,385,5.08,413,3.74,399,3.1,376,2.9,403,3.4,416,2.4,390,2.3,425,2.9,4764.17,4945.96,5596.73,6078.32,6789.53,7446.18,2.91,2.49,5.36,0.5,2.99,2.12,13.15,NA,NA,15.12,14.97,16.03,NA,NA,NA,NA,NA,NA,-1.6,-2.37,-1.9,-1.83,-1.4,-1.07
"15","Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,2.9,407,3,441,3.5,420,2.1,400,2.5,427,2.6,6230.48,6606.16,7351.86,7911.8,8753.23,9296,1.71,2.67,5.72,-2.27,3.59,2.55,20.16,NA,16.06,20.93,24.11,24.89,NA,NA,NA,NA,NA,NA,0.87,0.6,0.74,0.59,0.64,0.68
"16","Croatia",493,2.45,486,2.83,NA,NA,467,2.37,460,3.09,NA,NA,NA,NA,477,2.81,476,2.87,491,3.1,471,3.5,485,3.3,475,2.5,464,2.8,487,2.7,10569.03,12106.73,13753.79,13703,13660.26,14088.08,6.76,5.56,4.83,-7.27,-1.95,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.56,0.56,0.61,0.61,0.59
"17","Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,1.2,440,1.1,449,1.2,433,1.4,437,1.7,443,1.7,27317.8,28974.13,31415.82,31223.62,28775.07,27738.5,4.61,1.24,2.78,-4.37,-4.52,2.56,26.82,33.89,31.68,37.33,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.53,0.54,0.39,0.64,0.55
"18","Czech Republic",513,3.48,500,2.97,516,3.55,510,3.55,493,2.83,492,2.37,489,3.46,483,4.18,478,2.89,508,3,499,2.9,493,2.9,493,2.3,492,2.4,487,2.6,14806.58,16143.26,19193.75,19424.27,19929.76,21381.7,4.56,3.63,6.56,-5.34,-0.94,5.1,19.45,21.3,21.1,23.27,25.28,NA,NA,NA,NA,NA,NA,NA,0.33,0.89,1.05,0.91,1.05,0.98
"19","Denmark",496,3.11,499,2.48,514,2.74,513,2.62,503,2.6,497,2.35,492,2.82,494,3.18,495,2.07,498,2.7,500,2.3,496,2.6,502,2.4,511,2.2,500,2.5,55850.64,56256.77,60892.77,57229.05,58487.79,59967.74,3.4,0.12,3.57,-5.41,-0.15,0.89,37.22,33.91,33.53,31.88,29.11,NA,NA,NA,NA,NA,NA,NA,1.5,1.2,1.05,1,0.91,0.9
"20","Dominican Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,2.6,328,2.7,358,3.1,4017.43,4051.68,4751.04,5101.22,5631.47,6562.77,3.03,-2.84,7.62,-0.41,1.42,5.79,NA,NA,NA,6.9,8.12,13.53,NA,NA,NA,NA,NA,NA,0.02,-0.42,-0.11,0,0.25,0.24
"21","Estonia",531,2.52,528,2.67,NA,NA,515,2.75,512,2.57,NA,NA,NA,NA,501,2.93,501,2.64,541,1.9,521,2,516,2,534,2.1,520,2,519,2.2,10108.21,12481.19,16285.01,14282.6,16538.21,17733.96,10.03,8.09,10.92,-14.56,4.68,1.61,NA,26.17,NA,29.01,24.12,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,0.74,0.57,0.64,0.62
"22","Finland",563,2.02,554,2.34,544,1.87,548,2.3,541,2.17,546,2.58,543,1.64,547,2.15,536,2.25,545,2.2,519,1.9,524,2.4,531,2.4,511,2.3,526,2.5,40450.37,42729.02,47011.66,45065.75,46277.56,45151.51,5.42,1.75,3.66,-8.71,-1.89,-0.19,23.23,26,30.5,34.37,NA,NA,NA,NA,NA,NA,NA,NA,1.72,1.69,1.5,1.46,1.4,1.04
"23","France",495,3.36,498,3.6,511,2.5,496,3.17,497,3.09,505,2.73,496,2.68,488,4.06,496,3.44,499,2.6,495,2.5,505,2.8,495,2.1,493,2.1,499,2.5,38460.68,39120.2,40922.08,40052.31,41158.88,41642.31,3.17,0.11,1.66,-3.44,-0.3,0.65,28.28,29.75,27.11,28.59,26.89,NA,NA,NA,NA,NA,NA,NA,0.79,0.18,0.6,0.51,0.55,0.11
