"","Country","Science06","Sien.S.E.06","Science09","Sien.S.E.09","Math03","Math.S.E.03","Math06","Math.S.E.06","Math09","Math.S.E.09","Reading00","Read.S.E.00","Reading03","Read.S.E.03","Reading06","Read.S.E.06","Reading09","Read.S.E.09","Science12","Sien.s.e.12","Math12","Math.s.e.12","Reading12","Read.s.e.12","Science15","Scie.s.e.15","Math15","Math.s.e.15","Reading15","Read.s.e.15","gdp2000","gdp2003","gdp2006","gdp2009","gdp2012","gdp2015","gdpg2000","gdpg2003","gdpg2006","gdpg2009","gdpg2012","gdpg2015","expend2000","exped2003","expend2006","expend2009","expend2012","expend2015","corrupt2000","corrupt2003","corrupt2006","corrupt2009","corrupt2012","corrupt2015","pol2000","pol2003","pol2006","pol2009","pol2012","pol2015"
"60","Russian Federation",479,3.67,478,3.3,468,4.2,476,3.87,468,3.29,462,4.16,442,3.94,440,4.32,459,3.34,486,2.9,482,3,475,3,487,2.9,494,3.1,495,3.1,6491,7769.67,9687.49,10219.52,11621.39,11325.79,10.46,7.78,8.51,-7.85,3.48,-3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4,-1.19,-0.91,-0.97,-0.82,-1.03
"61","Serbia, Republic of",436,3.04,443,2.37,437,3.75,435,3.51,442,2.92,NA,NA,412,3.56,401,3.46,442,2.43,445,3.4,449,3.4,446,3.4,NA,NA,NA,NA,NA,NA,3405.78,4018.51,4896.82,5358.84,5501.7,5663.39,8.1,4.64,5.32,-2.73,-0.53,1.26,NA,NA,NA,13.59,NA,11.86,NA,NA,2.5,NA,NA,NA,-1.64,-0.58,-0.54,-0.48,-0.22,0.24
"62","Shanghai-China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,3,613,3.3,570,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,1.5,573,1.3,542,1.4,556,1.2,564,1.5,535,1.6,33390.06,35233.13,42223.89,41133.3,49262.33,52785.31,7.03,5.99,5.51,-3.56,1.56,1.04,NA,NA,NA,15.75,NA,NA,NA,NA,NA,NA,NA,NA,1.14,0.88,1.25,1.18,1.37,1.31
"64","Slovak Republic",488,2.59,490,2.99,498,3.35,492,2.82,497,3.08,NA,NA,469,3.12,466,3.06,477,2.54,471,3.6,482,3.4,463,4.2,461,2.6,475,2.7,453,2.8,10296.71,11755.35,14326.26,15818.56,17299.63,18678.94,1.35,5.49,8.45,-5.55,1.48,3.75,15.85,17.11,14.47,17.89,17.86,19.1,NA,NA,NA,NA,NA,NA,0.66,0.95,0.78,0.92,1.09,0.87
"65","Slovenia",519,1.11,512,1.15,NA,NA,504,1.04,501,1.23,NA,NA,NA,NA,494,0.99,483,1.03,514,1.3,501,1.2,481,1.2,513,1.3,510,1.3,505,1.5,18570.7,20346.42,23201.26,23252.1,22864.21,23731.17,3.85,2.78,5.32,-8.63,-2.87,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,1.19,1.08,0.93,0.94,0.95
"66","Spain",488,2.57,488,2.05,485,2.41,480,2.33,483,2.11,493,2.71,481,2.6,461,2.23,481,2.02,496,1.8,484,1.9,488,1.9,493,2.1,486,2.2,496,2.4,28335,30082.63,31865.37,30874.13,29414.86,30532.45,4.82,1.34,2.43,-4.42,-2.99,3.51,22.83,23.18,23.47,27.61,23.48,NA,NA,NA,NA,NA,NA,NA,0.46,-0.04,-0.15,-0.47,-0.03,0.25
"67","Sweden",503,2.37,495,2.72,509,2.56,502,2.41,494,2.9,516,2.2,514,2.42,507,3.44,497,2.88,485,3,478,2.3,483,3,493,3.6,494,3.2,500,3.5,44693.74,46983.08,52046.48,49554.34,52519.68,55395.06,4.57,2.01,4.1,-5.99,-1.02,3.42,24.46,24.37,29.94,31.2,31.09,NA,NA,NA,NA,NA,NA,NA,1.39,1.34,1.29,1.09,1.17,0.95
"68","Switzerland",512,3.16,517,2.82,527,3.38,530,3.15,534,3.3,494,4.25,499,3.28,499,3.06,501,2.44,515,2.7,531,3,509,2.6,506,2.9,521,2.9,492,3,67807.93,67385.3,72823.84,73189.19,74984.14,76472.46,3.35,-0.7,3.34,-3.44,-0.06,0.08,24.66,26.61,23.84,26.92,25.98,NA,NA,NA,NA,NA,NA,NA,1.58,1.25,1.27,1.31,1.42,1.34
"69","Thailand",421,2.14,425,2.98,417,3,417,2.34,419,3.23,431,3.24,420,2.81,417,2.59,421,2.64,444,2.9,427,3.4,441,3.1,421,2.8,415,3,409,3.3,3458.05,3969.42,4525.16,4743.69,5437.23,5739.76,3.37,6.39,4.33,-1.19,6.75,2.66,NA,NA,NA,8.45,18.41,NA,NA,NA,NA,NA,NA,NA,0.46,-0.14,-1.13,-1.42,-1.22,-0.99
"70","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,1.4,417,1.4,427,1.5,9779.5,12426.15,15892.29,16226.51,16680.68,16824.67,6.63,13.89,12.67,-4.84,0.78,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,-0.25,-0.24,-0.14,0.1,0.29
"71","Tunisia",386,2.96,401,2.69,359,2.54,365,3.96,371,2.98,NA,NA,375,2.81,380,4.02,404,2.88,398,3.5,388,3.9,404,4.5,386,2.1,367,3,361,3.1,3004.61,3228.46,3641.54,4044.63,4127.4,4270.87,3.68,3.91,4.28,1.92,2.8,-0.01,24.53,23.74,NA,NA,NA,52.83,NA,NA,NA,NA,NA,NA,0.32,0.32,0.21,0.06,-0.72,-0.96
"72","Turkey",424,3.84,454,3.6,423,6.74,424,4.9,445,4.44,NA,NA,441,5.79,447,4.21,464,3.52,463,3.9,448,4.8,475,4.2,425,3.9,420,4.1,428,4,8237.61,8332.03,10251.38,9973.66,12052.72,13898.75,5.03,4.1,5.77,-5.91,3.16,4.4,NA,NA,NA,NA,15.98,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.77,-0.59,-1.03,-1.22,-1.49
"73","United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,2.8,434,2.4,442,2.5,437,2.4,427,2.4,434,2.9,62833.25,59867.29,53926.6,37203.4,36376.45,40753.89,4.99,1.98,-4.04,-14.79,1.81,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1,0.92,0.92,0.86,0.76
"74","United Kingdom",515,2.29,514,2.52,NA,NA,495,2.14,492,2.42,NA,NA,NA,NA,495,2.26,494,2.28,514,3.4,494,3.3,499,3.5,509,2.6,492,2.5,498,2.8,35576.77,38132.84,40418.75,38545.92,39455.41,41536.92,3.29,2.85,1.71,-4.91,0.78,1.54,21.91,25.08,24.52,28.57,NA,23.42,NA,NA,NA,NA,NA,NA,1.04,0.27,0.67,0.12,0.4,0.52
"75","United States",489,4.22,502,3.64,483,2.95,474,4.02,487,3.57,504,7.05,495,3.22,NA,NA,500,3.65,497,3.8,481,3.6,498,3.7,496,3.2,470,3.2,497,3.4,45055.82,46304.04,49575.4,47575.61,49498.39,51933.4,2.94,1.93,1.68,-3.62,1.46,2.09,NA,NA,NA,NA,22.81,NA,NA,NA,NA,NA,NA,NA,1.08,0.08,0.49,0.45,0.63,0.68
"76","Uruguay",428,2.75,427,2.57,422,3.29,427,2.61,427,2.59,NA,NA,434,3.43,413,3.43,426,2.6,416,2.8,409,2.8,411,3.2,435,2.2,418,2.5,437,2.5,8997.66,8036.48,9424.52,11112.46,12913.1,13859.41,-2.28,0.87,3.93,3.87,3.2,0.02,10,6.5,10.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0.71,0.9,0.79,0.71,1
"77","Vietnam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,4.3,511,4.8,508,4.4,525,3.9,495,4.5,487,3.7,761.61,891.87,1073.01,1244.04,1433.13,1651.23,5.6,5.88,5.99,4.37,4.07,5.51,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,0.41,0.13,0.4,0.27,0.27,0.07
